User ID;Purchase;Homepage;Categories;ProductPage;Onsales;Search;Basket;Others;Sum
U00021392;0;6;8;17;2;1;2;0;36
U00021429;0;6;6;10;0;1;2;0;25
U00021478;1;3;3;6;2;0;0;0;14
U00021690;0;6;2;7;3;1;0;0;19
U00021851;0;6;3;9;4;0;0;0;22
U00021869;0;3;1;5;1;1;0;0;11
U00021910;1;7;2;8;3;1;1;1;23
U00022039;0;7;5;11;3;2;0;0;28
U00022367;1;2;2;6;2;0;0;1;13
U00022415;1;13;10;60;0;4;5;0;92
U00022456;1;13;8;66;1;1;4;1;94
U00022563;1;11;7;49;1;1;4;2;75
U00022634;1;6;6;13;1;1;1;1;29
U00022700;1;15;7;65;4;5;4;0;100
U00022705;1;4;5;9;1;1;1;1;22
U00023037;0;19;7;70;1;4;6;1;108
U00023279;0;8;2;34;1;11;6;1;63
U00023303;1;4;1;9;3;1;0;0;18
U00023448;1;5;3;9;1;1;1;0;20
U00023649;0;3;2;5;1;0;0;0;11
U00023764;1;7;10;17;1;0;1;0;36
U00024039;1;12;1;58;4;18;11;3;107
U00024429;0;4;3;6;2;1;0;0;16
U00024567;0;4;4;7;1;1;1;0;18
U00024741;1;6;0;23;1;6;4;1;41
U00024792;0;3;3;8;1;0;1;1;17
U00024806;1;4;2;5;2;0;0;0;13
U00025089;1;5;5;15;1;1;2;0;29
U00025152;1;8;2;26;1;8;5;1;51
U00025190;1;4;5;8;1;0;2;0;20
U00025256;1;7;2;39;2;11;8;2;71
U00025360;1;4;1;18;0;6;3;1;33
U00025381;1;5;6;14;2;1;3;0;31
U00025740;1;5;6;12;1;1;1;1;27
U00025809;1;8;0;23;0;7;4;1;43
U00025856;0;7;1;24;1;7;4;1;45
U00026001;0;8;8;17;2;1;2;0;38
U00026079;0;6;2;7;4;1;0;1;21
U00026089;1;6;2;8;3;0;1;1;21
U00026169;0;20;8;75;1;2;3;3;112
U00026262;0;4;1;6;2;1;0;0;14
U00026459;0;7;6;30;1;1;2;1;48
U00026776;0;4;3;6;2;1;1;1;18
U00026950;1;11;6;43;1;1;2;1;65
U00027008;1;3;3;7;0;1;1;0;15
U00027221;1;6;5;11;1;1;1;0;25
U00027343;1;7;7;36;1;1;3;0;55
U00027356;0;10;8;16;1;2;3;0;40
U00027479;1;10;0;37;1;10;7;1;66
U00027613;0;15;14;76;2;1;5;2;115
U00027977;0;10;4;14;5;1;1;2;37
U00028022;1;3;4;8;2;1;2;0;20
U00028035;0;7;5;14;1;1;1;1;30
U00028072;0;4;3;9;1;1;1;1;20
U00028189;1;17;10;69;2;3;2;4;107
U00028255;1;13;7;62;1;2;4;0;89
U00028294;1;9;1;33;1;11;6;2;63
U00028445;1;7;6;14;1;0;3;0;31
U00028661;0;3;4;8;1;1;2;0;19
U00028700;1;5;4;10;0;1;2;0;22
U00028705;1;6;4;12;1;1;2;0;26
U00028708;1;5;7;13;1;1;1;0;28
U00028796;0;3;2;5;2;1;0;0;13
U00028897;0;7;7;14;2;1;2;1;34
U00028956;1;4;4;9;2;1;1;0;21
U00029009;1;3;2;5;2;0;0;0;12
U00029061;1;7;0;21;0;7;4;1;40
U00029190;0;3;2;8;4;1;0;0;18
U00029245;1;5;0;20;0;7;5;1;38
U00029252;1;23;12;94;2;1;7;3;142
U00029305;1;10;5;37;1;1;4;0;58
U00029377;0;4;1;7;3;0;1;0;16
U00029385;0;4;5;11;1;1;1;1;24
U00029413;0;9;8;16;1;2;3;0;39
U00029529;0;5;4;11;0;0;2;0;22
U00029627;0;5;1;7;2;1;0;0;16
U00029670;0;8;0;32;1;11;5;1;58
U00029881;0;4;4;12;0;1;1;0;22
U00029910;1;4;3;8;1;1;2;0;19
U00030061;1;6;1;21;0;7;4;1;40
U00030165;1;22;17;94;0;4;4;0;141
U00030237;0;3;3;7;1;0;1;0;15
U00030267;1;7;3;17;0;6;4;2;39
U00030352;0;6;3;10;4;1;1;0;25
U00030531;1;3;1;17;0;5;4;1;31
U00030538;1;10;7;39;1;2;2;0;61
U00030660;1;6;6;11;1;1;2;0;27
U00030669;1;6;1;28;1;8;5;2;51
U00030677;0;5;6;12;1;1;2;1;28
U00030791;1;9;7;17;2;2;3;1;41
U00031004;1;5;0;21;0;7;4;1;38
U00031282;1;6;1;23;0;8;3;2;43
U00031331;0;7;0;27;0;9;5;0;48
U00031415;0;3;3;7;0;0;1;1;15
U00031487;0;6;0;20;1;7;3;1;38
U00031958;1;4;5;15;2;0;2;1;29
U00032157;1;10;1;37;1;11;8;2;70
U00032164;0;4;4;10;1;1;1;1;22
U00032346;0;8;4;9;3;0;0;1;25
U00032354;0;4;3;7;1;0;1;0;16
U00032411;1;4;3;8;1;1;1;0;18
U00032444;1;15;0;41;2;12;9;0;79
U00032589;1;8;2;43;1;12;8;1;75
U00032610;1;10;6;36;0;2;4;1;59
U00032778;1;5;6;13;1;1;2;0;28
U00032952;1;7;4;32;1;11;6;2;63
U00032993;0;4;6;11;1;1;2;0;25
U00033089;1;12;6;48;1;2;2;0;71
U00033285;1;5;2;6;2;0;0;0;15
U00033404;0;5;0;7;4;1;0;0;17
U00033516;1;6;8;16;1;1;2;0;34
U00033522;0;5;3;8;0;1;1;0;18
U00033565;0;5;5;14;1;1;3;0;29
U00033588;0;4;2;8;1;1;1;0;17
U00033718;0;28;12;113;3;2;8;3;169
U00033851;0;5;4;10;1;1;1;0;22
U00033944;0;3;1;5;2;1;1;0;13
U00033969;1;7;1;27;2;7;7;1;52
U00034002;1;10;1;35;1;11;6;1;65
U00034082;0;5;2;7;3;0;0;0;17
U00034189;1;5;2;36;1;11;8;1;64
U00034197;1;4;2;17;1;5;3;2;34
U00034310;0;4;4;10;0;0;1;0;19
U00034316;0;12;3;49;0;13;8;3;88
U00034480;0;8;5;14;2;1;2;0;32
U00034680;1;3;2;7;2;0;1;0;15
U00034800;0;4;4;11;0;0;1;1;21
U00034846;1;5;3;8;3;0;1;0;20
U00035074;1;8;5;16;2;1;2;0;34
U00035197;0;10;7;18;1;1;2;0;39
U00035316;0;4;5;12;0;1;2;1;25
U00035380;0;3;4;8;1;0;1;1;18
U00035455;0;4;2;7;3;1;1;0;18
U00035562;1;8;0;32;1;10;5;1;57
U00035611;1;4;1;5;3;1;0;1;15
U00035623;0;10;1;27;0;8;5;1;52
U00035938;0;5;4;8;4;1;1;1;24
U00035979;1;4;1;22;0;6;5;1;39
U00036078;0;6;6;16;1;3;3;1;36
U00036104;0;3;3;8;1;1;1;0;17
U00036119;1;7;1;9;4;1;1;2;25
U00036199;1;7;1;34;1;10;8;2;63
U00036209;0;4;1;6;2;0;0;1;14
U00036519;1;9;2;13;3;0;1;0;28
U00036603;1;5;4;5;3;0;1;0;18
U00036706;1;8;5;16;2;1;2;1;35
U00036720;0;6;2;28;1;9;5;0;51
U00036722;1;4;2;8;3;0;1;0;18
U00036765;0;7;7;16;1;1;2;0;34
U00036908;1;8;3;9;4;0;0;0;24
U00037054;1;9;1;32;0;11;5;2;60
U00037204;1;4;3;11;1;1;1;0;21
U00037245;0;7;5;16;2;2;3;1;36
U00037297;1;6;7;13;0;1;1;0;28
U00037331;1;14;5;54;1;0;4;1;79
U00037362;0;8;0;12;3;1;2;0;26
U00037512;0;4;1;5;3;0;0;1;14
U00037660;1;8;7;17;4;2;2;1;41
U00037706;1;8;2;30;0;10;7;1;58
U00037980;1;9;0;43;1;13;9;0;75
U00038029;1;7;6;10;0;2;2;0;27
U00038225;1;6;7;16;1;1;2;0;33
U00038251;1;7;4;34;0;0;3;0;48
U00038319;0;26;10;90;3;2;6;1;138
U00038350;0;4;4;8;1;0;1;0;18
U00038575;1;12;6;58;0;3;4;3;86
U00038626;0;5;4;11;1;1;2;0;24
U00038635;1;12;6;49;2;1;4;1;75
U00038659;0;3;5;8;1;0;2;1;20
U00038701;1;4;4;11;1;0;2;0;22
U00038716;0;8;6;18;2;1;1;0;36
U00038784;1;5;5;33;1;1;3;1;49
U00039036;1;4;4;8;0;1;1;0;18
U00039037;1;5;6;11;1;0;1;1;25
U00039326;1;7;3;11;4;1;0;0;26
U00039441;1;5;6;10;1;1;3;0;26
U00039567;1;9;0;29;1;8;6;2;55
U00039732;1;8;5;13;1;1;3;0;31
U00039780;1;7;0;39;1;12;7;2;68
U00039867;1;5;4;9;1;1;1;0;21
U00040157;1;7;1;27;0;9;6;2;52
U00040170;1;4;4;9;1;1;2;0;21
U00040238;0;7;10;18;1;1;2;1;40
U00040258;1;5;5;9;0;0;2;0;21
U00040399;1;12;9;55;0;2;4;1;83
U00040404;0;9;11;18;1;2;3;0;44
U00040512;0;7;8;15;1;2;2;1;36
U00040654;0;3;3;7;0;1;1;0;15
U00040697;1;8;7;13;1;1;2;0;32
U00040728;1;6;6;13;1;1;3;0;30
